route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
1,f61f5d4d-dea9-4c90-b392-cf7eb79a38b5,San Francisco Ferry Building,,1,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,1,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD8212530,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087412,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087414,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,507b423b-3d0e-4103-b34e-f4d941f9a950,,,0,,81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087410,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087408,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919450,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087492,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087404,Pier 41,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919454,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087490,Vallejo Ferry Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919455,San Francisco Ferry Building,,0,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087406,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9018759,Vallejo Ferry Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD6919459,Pier 41,,0,,86435409-7625-4bd9-8c22-20382886e8d0,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919456,San Francisco Ferry Building,,0,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919457,San Francisco Ferry Building,,0,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087402,Pier 41,,0,,86435409-7625-4bd9-8c22-20382886e8d0,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087400,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087480,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919462,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087482,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919463,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919464,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
