trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
102a6881-face-4102-b9df-5e5387481648,20:45:00,20:45:00,12030044,1,,0,0,0.0000000,0
102a6881-face-4102-b9df-5e5387481648,20:55:00,20:55:00,12030043,2,,0,0,1525.1820648,0
102a6881-face-4102-b9df-5e5387481648,21:25:00,21:25:00,890001,3,,0,0,11644.6003259,0
507b423b-3d0e-4103-b34e-f4d941f9a950,,,12030044,1,,0,0,0.0000000,0
507b423b-3d0e-4103-b34e-f4d941f9a950,,,12030043,2,,0,0,1525.1820648,0
507b423b-3d0e-4103-b34e-f4d941f9a950,,,12048538,3,,0,0,14305.6867031,0
828b9315-b15e-4abc-9def-39b661e2fabd,19:45:00,19:45:00,12030044,1,,0,0,0.0000000,0
828b9315-b15e-4abc-9def-39b661e2fabd,19:55:00,19:55:00,12030043,2,,0,0,1525.1820648,0
828b9315-b15e-4abc-9def-39b661e2fabd,20:25:00,20:25:00,890001,3,,0,0,11644.6003259,0
RTD6919403,16:45:00,16:45:00,890004,1,,0,0,0.0000000,0
RTD6919403,18:15:00,18:15:00,12149044,2,,0,0,35820.6514554,0
RTD6919404,07:35:00,07:35:00,890004,1,,0,0,0.0000000,0
RTD6919404,08:35:00,08:35:00,12149044,2,,0,0,35820.6514554,0
RTD6919405,09:55:00,09:55:00,890004,1,,0,0,0.0000000,0
RTD6919405,10:55:00,10:55:00,12149044,2,,0,0,35820.6514554,0
RTD6919406,08:15:00,08:15:00,890004,1,,0,0,0.0000000,0
RTD6919406,09:15:00,09:15:00,12149044,2,,0,0,35820.6514554,0
RTD6919407,18:30:00,18:30:00,890004,1,,0,0,0.0000000,0
RTD6919407,19:30:00,19:30:00,12149044,2,,0,0,35820.6514554,0
RTD6919408,22:30:00,22:30:00,890004,1,,0,0,0.0000000,0
RTD6919408,23:30:00,23:30:00,12149044,2,,0,0,35820.6514554,0
RTD6919409,16:00:00,16:00:00,890004,1,,0,0,0.0000000,0
RTD6919409,17:15:00,17:15:00,12149044,2,,0,0,35820.6514554,0
RTD6919410,06:00:00,06:00:00,12149044,1,,0,0,0.0000000,0
RTD6919410,07:00:00,07:00:00,890004,2,,0,0,35820.6514554,0
RTD6919411,08:45:00,08:45:00,12149044,1,,0,0,0.0000000,0
RTD6919411,09:45:00,09:45:00,890004,2,,0,0,35820.6514554,0
RTD6919412,13:00:00,13:00:00,12149044,1,,0,0,0.0000000,0
RTD6919412,14:00:00,14:00:00,890004,2,,0,0,35820.6514554,0
RTD6919413,07:15:00,07:15:00,12149044,1,,0,0,0.0000000,0
RTD6919413,08:15:00,08:15:00,890004,2,,0,0,35820.6514554,0
RTD6919414,21:30:00,21:30:00,12149044,1,,0,0,0.0000000,0
RTD6919414,22:30:00,22:30:00,890004,2,,0,0,35820.6514554,0
RTD6919416,15:00:00,15:00:00,12149044,1,,0,0,0.0000000,0
RTD6919416,16:00:00,16:00:00,890004,2,,0,0,35820.6514554,0
RTD6919417,17:35:00,17:35:00,890001,1,,0,0,0.0000000,0
RTD6919417,18:00:00,18:00:00,12048536,2,,0,0,13851.9114556,0
RTD6919418,19:35:00,19:35:00,890001,1,,0,0,0.0000000,0
RTD6919418,20:00:00,20:00:00,12048536,2,,0,0,13851.9114556,0
RTD6919419,07:00:00,07:00:00,890001,1,,0,0,0.0000000,0
RTD6919419,07:25:00,07:25:00,12048536,2,,0,0,13851.9114556,0
RTD6919420,18:35:00,18:35:00,890001,1,,0,0,0.0000000,0
RTD6919420,19:00:00,19:00:00,12048536,2,,0,0,13851.9114556,0
RTD6919421,08:00:00,08:00:00,890001,1,,0,0,0.0000000,0
RTD6919421,08:25:00,08:25:00,12048536,2,,0,0,13851.9114556,0
RTD6919422,16:35:00,16:35:00,890001,1,,0,0,0.0000000,0
RTD6919422,17:00:00,17:00:00,12048536,2,,0,0,13851.9114556,0
RTD6919423,07:30:00,07:30:00,12048536,1,,0,0,0.0000000,0
RTD6919423,07:55:00,07:55:00,890001,2,,0,0,13851.9114556,0
RTD6919424,19:05:00,19:05:00,12048536,1,,0,0,0.0000000,0
RTD6919424,19:30:00,19:30:00,890001,2,,0,0,13851.9114556,0
RTD6919425,17:05:00,17:05:00,12048536,1,,0,0,0.0000000,0
RTD6919425,17:30:00,17:30:00,890001,2,,0,0,13851.9114556,0
RTD6919426,18:05:00,18:05:00,12048536,1,,0,0,0.0000000,0
RTD6919426,18:30:00,18:30:00,890001,2,,0,0,13851.9114556,0
RTD6919427,08:30:00,08:30:00,12048536,1,,0,0,0.0000000,0
RTD6919427,08:55:00,08:55:00,890001,2,,0,0,13851.9114556,0
RTD6919428,06:30:00,06:30:00,12048536,1,,0,0,0.0000000,0
RTD6919428,06:55:00,06:55:00,890001,2,,0,0,13851.9114556,0
RTD6919429,13:20:00,13:20:00,12030044,1,,0,0,0.0000000,0
RTD6919429,13:35:00,13:35:00,12030043,2,,0,0,1347.9331522,0
RTD6919429,14:00:00,14:00:00,890001,3,,0,0,10000.0200602,0
RTD6919429,14:20:00,14:20:00,12048538,4,,0,0,20620.9934158,0
RTD6919433,10:50:00,10:50:00,12030044,1,,0,0,0.0000000,0
RTD6919433,11:00:00,11:00:00,12030043,2,,0,0,1347.9331522,0
RTD6919433,11:30:00,11:30:00,890001,3,,0,0,10000.0200602,0
RTD6919433,11:45:00,11:45:00,12048538,4,,0,0,20620.9934158,0
RTD6919436,17:40:00,17:40:00,890001,1,,0,0,0.0000000,0
RTD6919436,18:00:00,18:00:00,12030042,2,,0,0,8652.0869080,0
RTD6919436,18:15:00,18:15:00,12030043,3,,0,0,18542.5288361,0
RTD6919437,19:25:00,19:25:00,890001,1,,0,0,0.0000000,0
RTD6919437,19:45:00,19:45:00,12030042,2,,0,0,8652.0869080,0
RTD6919437,19:55:00,19:55:00,12030043,3,,0,0,18542.5288361,0
RTD6919438,18:25:00,18:25:00,890001,1,,0,0,0.0000000,0
RTD6919438,18:45:00,18:45:00,12030042,2,,0,0,8652.0869080,0
RTD6919438,18:55:00,18:55:00,12030043,3,,0,0,18542.5288361,0
RTD6919440,07:35:00,07:35:00,12030043,1,,0,0,0.0000000,0
RTD6919440,07:45:00,07:45:00,12030042,2,,0,0,1347.9331522,0
RTD6919440,08:05:00,08:05:00,890001,3,,0,0,11238.3750803,0
RTD6919441,08:40:00,08:40:00,12030043,1,,0,0,0.0000000,0
RTD6919441,08:50:00,08:50:00,12030042,2,,0,0,1347.9331522,0
RTD6919441,09:10:00,09:10:00,890001,3,,0,0,11238.3750803,0
RTD6919442,07:00:00,07:00:00,12030043,1,,0,0,0.0000000,0
RTD6919442,07:15:00,07:15:00,12030042,2,,0,0,1347.9331522,0
RTD6919442,07:35:00,07:35:00,890001,3,,0,0,11238.3750803,0
RTD6919444,06:30:00,06:30:00,12030043,1,,0,0,0.0000000,0
RTD6919444,06:40:00,06:40:00,12030042,2,,0,0,1347.9331522,0
RTD6919444,07:00:00,07:00:00,890001,3,,0,0,11238.3750803,0
RTD6919446,20:05:00,20:05:00,12048538,1,,0,0,0.0000000,0
RTD6919446,20:25:00,20:25:00,890001,2,,0,0,2338.5208319,0
RTD6919446,20:45:00,20:45:00,12030042,3,,0,0,12959.4941875,0
RTD6919446,20:55:00,20:55:00,12030043,4,,0,0,24739.4332074,0
RTD6919448,10:15:00,10:15:00,12048538,1,,0,0,0.0000000,0
RTD6919448,10:30:00,10:30:00,890001,2,,0,0,2338.5208319,0
RTD6919448,10:50:00,10:50:00,12030042,3,,0,0,12959.4941875,0
RTD6919448,11:00:00,11:00:00,12030043,4,,0,0,24739.4332074,0
RTD6919450,12:45:00,12:45:00,12048538,1,,0,0,0.0000000,0
RTD6919450,13:00:00,13:00:00,890001,2,,0,0,2338.5208319,0
RTD6919450,13:15:00,13:15:00,12030042,3,,0,0,12959.4941875,0
RTD6919450,13:30:00,13:30:00,12030043,4,,0,0,24739.4332074,0
RTD6919454,13:45:00,13:45:00,12048538,1,,0,0,0.0000000,0
RTD6919454,14:00:00,14:00:00,890001,2,,0,0,2338.5208319,0
RTD6919454,14:20:00,14:20:00,12030042,3,,0,0,12959.4941875,0
RTD6919454,14:35:00,14:35:00,12030043,4,,0,0,24739.4332074,0
RTD6919455,16:50:00,16:50:00,12030044,1,,0,0,0.0000000,0
RTD6919455,17:05:00,17:05:00,12030043,2,,0,0,1525.1820648,0
RTD6919455,17:30:00,17:30:00,890001,3,,0,0,11644.6003259,0
RTD6919456,18:45:00,18:45:00,12030044,1,,0,0,0.0000000,0
RTD6919456,18:55:00,18:55:00,12030043,2,,0,0,1525.1820648,0
RTD6919456,19:20:00,19:20:00,890001,3,,0,0,11644.6003259,0
RTD6919457,17:40:00,17:40:00,12030044,1,,0,0,0.0000000,0
RTD6919457,17:55:00,17:55:00,12030043,2,,0,0,1525.1820648,0
RTD6919457,18:20:00,18:20:00,890001,3,,0,0,11644.6003259,0
RTD6919459,09:15:00,09:15:00,12030043,1,,0,0,0.0000000,0
RTD6919459,09:25:00,09:25:00,12030042,2,,0,0,1502.1059809,0
RTD6919459,09:45:00,09:45:00,890001,3,,0,0,10352.5632722,0
RTD6919459,10:00:00,10:00:00,12048538,4,,0,0,14074.3536181,0
RTD6919462,06:25:00,06:25:00,890001,1,,0,0,0.0000000,0
RTD6919462,07:00:00,07:00:00,12030043,2,,0,0,9890.4419281,0
RTD6919462,07:10:00,07:10:00,12030044,3,,0,0,18542.5288361,0
RTD6919463,08:40:00,08:40:00,890001,1,,0,0,0.0000000,0
RTD6919463,09:15:00,09:15:00,12030043,2,,0,0,9890.4419281,0
RTD6919463,09:25:00,09:25:00,12030044,3,,0,0,18542.5288361,0
RTD6919464,08:05:00,08:05:00,890001,1,,0,0,0.0000000,0
RTD6919464,08:40:00,08:40:00,12030043,2,,0,0,9890.4419281,0
RTD6919464,08:50:00,08:50:00,12030044,3,,0,0,18542.5288361,0
RTD6919465,07:00:00,07:00:00,890001,1,,0,0,0.0000000,0
RTD6919465,07:35:00,07:35:00,12030043,2,,0,0,9890.4419281,0
RTD6919465,07:45:00,07:45:00,12030044,3,,0,0,18542.5288361,0
RTD6919476,17:45:00,17:45:00,12048601,1,,0,0,0.0000000,0
RTD6919476,18:45:00,18:45:00,12048538,2,,0,0,34830.2447662,0
RTD6919476,18:55:00,18:55:00,12048538,3,,0,0,69660.4895324,0
RTD6919476,19:05:00,19:05:00,890001,4,,0,0,105294.2869837,0
RTD6919476,19:15:00,19:15:00,890001,5,,0,0,140928.0844350,0
RTD6919476,20:15:00,20:15:00,12048601,6,,0,0,140928.0844350,0
RTD6919482,07:00:00,07:00:00,12048601,1,,0,0,0.0000000,0
RTD6919482,08:00:00,08:00:00,890001,2,,0,0,35633.7974513,0
RTD6919482,08:15:00,08:15:00,890001,3,,0,0,71267.5949025,0
RTD6919482,09:15:00,09:15:00,12048601,4,,0,0,71267.5949025,0
RTD6919486,06:25:00,06:25:00,12030042,1,,0,0,0.0000000,0
RTD6919486,06:40:00,06:40:00,12030043,2,,0,0,1525.1820648,0
RTD6919486,07:20:00,07:20:00,12030041,3,,0,0,23291.5486297,0
RTD6919487,08:00:00,08:00:00,12030042,1,,0,0,0.0000000,0
RTD6919487,08:10:00,08:10:00,12030043,2,,0,0,1525.1820648,0
RTD6919487,08:50:00,08:50:00,12030041,3,,0,0,23291.5486297,0
RTD6919488,07:30:00,07:30:00,12030042,1,,0,0,0.0000000,0
RTD6919488,07:40:00,07:40:00,12030043,2,,0,0,1525.1820648,0
RTD6919488,08:20:00,08:20:00,12030041,3,,0,0,23291.5486297,0
RTD6919489,17:20:00,17:20:00,12030041,1,,0,0,0.0000000,0
RTD6919489,17:50:00,17:50:00,12030042,2,,0,0,20435.0069241,0
RTD6919489,18:00:00,18:00:00,12030043,3,,0,0,21937.1129050,0
RTD6919491,16:20:00,16:20:00,12030041,1,,0,0,0.0000000,0
RTD6919491,16:55:00,16:55:00,12030043,2,,0,0,21766.3665649,0
RTD6919491,17:10:00,17:10:00,12030044,3,,0,0,23291.5486297,0
RTD6919494,09:00:00,09:00:00,12030041,1,,0,0,0.6503299,0
RTD6919494,09:30:00,09:30:00,890001,2,,0,0,19691.4231848,0
RTD6919495,15:30:00,15:30:00,890001,1,,0,0,2.0565527,0
RTD6919495,16:00:00,16:00:00,12030041,2,,0,0,19693.9978373,0
RTD6919833,18:00:00,18:00:00,890001,1,,0,0,0.0000000,0
RTD6919833,18:25:00,18:25:00,12048536,2,,0,0,13851.9114556,0
RTD6919837,14:25:00,14:25:00,12030044,1,,0,0,0.0000000,0
RTD6919837,14:40:00,14:40:00,12030043,2,,0,0,1525.1820648,0
RTD6919837,15:05:00,15:05:00,890001,3,,0,0,11644.6003259,0
RTD6919840,15:35:00,15:35:00,12030044,1,,0,0,0.0000000,0
RTD6919840,15:50:00,15:50:00,12030043,2,,0,0,1525.1820648,0
RTD6919840,16:20:00,16:20:00,890001,3,,0,0,11644.6003259,0
RTD6919844,14:55:00,14:55:00,12048538,1,,0,0,0.0000000,0
RTD6919844,15:15:00,15:15:00,890001,2,,0,0,2338.5208319,0
RTD6919844,15:30:00,15:30:00,12030042,3,,0,0,12959.4941875,0
RTD6919844,15:45:00,15:45:00,12030043,4,,0,0,24739.4332074,0
RTD6919912,19:00:00,19:00:00,12030041,1,,0,0,0.0000000,0
RTD6919912,19:35:00,19:35:00,12030042,2,,0,0,20435.0069241,0
RTD6919912,19:50:00,19:50:00,12030043,3,,0,0,21937.1129050,0
RTD8212530,14:30:00,14:30:00,890004,1,,0,0,0.0000000,0
RTD8212530,15:30:00,15:30:00,12149044,2,,0,0,35820.6514554,0
RTD8997333,07:15:00,07:15:00,12149044,1,,0,0,0.0000000,0
RTD8997333,08:15:00,08:15:00,890004,2,,0,0,35820.6514554,0
RTD8997348,08:15:00,08:15:00,890004,1,,0,0,0.0000000,0
RTD8997348,09:15:00,09:15:00,12149044,2,,0,0,35820.6514554,0
RTD8997351,09:45:00,09:45:00,12030043,1,,0,0,0.0000000,0
RTD8997351,10:00:00,10:00:00,12030042,2,,0,0,1347.9331522,0
RTD8997351,10:25:00,10:25:00,12048538,3,,0,0,13127.8721721,0
RTD8997351,10:45:00,10:45:00,12048537,4,,0,0,23018.3141002,0
RTD8997373,10:35:00,10:35:00,12048538,1,,0,0,0.0000000,0
RTD8997373,10:50:00,10:50:00,890001,2,,0,0,2338.5208319,0
RTD8997373,11:05:00,11:05:00,12030042,3,,0,0,12959.4941875,0
